"cluster_id","question_index","story","question","option_a","option_b","option_c","option_d","correct_answer","cluster_summary"
"4","0","At a school gallery event, there are 28 student art pieces. Lina tells Mark, ""Most are paintings, some are sketches, and almost none are sculptures."" Mark walks around and counts only 6 sketches.","After counting, how many does Mark guess are paintings?","After counting, Mark guesses that 20 are paintings.","After counting, Mark guesses that 22 are paintings.","After counting, Mark guesses that 26 are paintings.","After counting, Mark guesses that 18 are paintings.","A","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","1","A zoo gift shop restocked 18 souvenirs. The clerk tells a volunteer, ""Most are animal figurines, a small part are postcards, and very few are keychains."" The volunteer checks and finds that only 5 are postcards.","After checking, how many does the volunteer guess are animal figurines?","After checking, the volunteer guesses that 16 are animal figurines.","After checking, the volunteer guesses that 13 are animal figurines.","After checking, the volunteer guesses that 11 are animal figurines.","After checking, the volunteer guesses that 9 are animal figurines.","C","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","2","For a company training day, 40 employees signed up. The coordinator says, ""Most chose workshop A, some chose workshop B, and almost no one chose workshop C."" Later, an assistant tallies that only 9 employees chose workshop B.","After the tally, how many does the assistant guess chose workshop A?","After the tally, the assistant guesses that 39 chose workshop A.","After the tally, the assistant guesses that 29 chose workshop A.","After the tally, the assistant guesses that 31 chose workshop A.","After the tally, the assistant guesses that 26 chose workshop A.","B","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","3","A neighborhood library received 22 donated items. The librarian explains, ""Most are paperbacks, a few are hardcovers, and almost none are audiobooks."" A volunteer later notes that only 7 are hardcovers.","After noting this, how many does the volunteer guess are paperbacks?","After noting this, the volunteer guesses that 20 are paperbacks.","After noting this, the volunteer guesses that 15 are paperbacks.","After noting this, the volunteer guesses that 11 are paperbacks.","After noting this, the volunteer guesses that 13 are paperbacks.","D","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","4","At a farmer's market, a vendor sold 25 fruit baskets. She tells her helper, ""Most baskets are filled with apples, some with pears, and very few with plums."" The helper checks the labels and finds that only 6 baskets have pears.","After checking, how many does the helper guess are apple baskets?","After checking, the helper guesses that 23 are apple baskets.","After checking, the helper guesses that 19 are apple baskets.","After checking, the helper guesses that 17 are apple baskets.","After checking, the helper guesses that 14 are apple baskets.","C","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","5","A community center has 16 people enrolled in morning classes. The coordinator says, ""Most are in yoga, a small part are in tai chi, and almost none are in dance."" After sign-in, it turns out only 4 are in tai chi.","After sign-in, how many does the coordinator guess are in yoga?","After sign-in, the coordinator guesses that 14 are in yoga.","After sign-in, the coordinator guesses that 10 are in yoga.","After sign-in, the coordinator guesses that 12 are in yoga.","After sign-in, the coordinator guesses that 8 are in yoga.","B","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","6","An online poll has 34 responses so far. The organizer mentions, ""Most support option X, some support option Y, and almost none pick option Z."" Later, the dashboard shows that only 9 responses support option Y.","After seeing the dashboard, how many does the organizer guess support option X?","After seeing the dashboard, the organizer guesses that 33 support option X.","After seeing the dashboard, the organizer guesses that 25 support option X.","After seeing the dashboard, the organizer guesses that 19 support option X.","After seeing the dashboard, the organizer guesses that 23 support option X.","D","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","7","At a regional science fair, there are 27 projects. A judge says, ""Most are experiments, a few are models, and very few are posters."" When listings are posted, the judge notices that only 5 projects are models.","After seeing the listings, how many does the judge guess are experiments?","After seeing the listings, the judge guesses that 20 are experiments.","After seeing the listings, the judge guesses that 22 are experiments.","After seeing the listings, the judge guesses that 26 are experiments.","After seeing the listings, the judge guesses that 18 are experiments.","A","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","8","A city rack holds 19 bicycles. A passerby comments, ""Most are city bikes, some are mountain bikes, and almost none are folding bikes."" After a quick look, she counts only 4 mountain bikes.","After her count, how many does she guess are city bikes?","After her count, she guesses that 18 are city bikes.","After her count, she guesses that 15 are city bikes.","After her count, she guesses that 13 are city bikes.","After her count, she guesses that 11 are city bikes.","C","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
"4","9","A university seminar has 31 participants choosing topics. The organizer says, ""Most picked AI, a small part picked security, and very few picked theory."" After registration closes, it turns out only 7 picked security.","After registration, how many does the organizer guess picked AI?","After registration, the organizer guesses that 30 picked AI.","After registration, the organizer guesses that 22 picked AI.","After registration, the organizer guesses that 24 picked AI.","After registration, the organizer guesses that 19 picked AI.","B","These reasons all describe a shared failure in mapping vague quantifiers to numbers: the model treats terms like “most,” “almost no,” “few,” and “some” as fixed, often extreme values instead of flexible ranges. It overweights explicit numerals and simple subtraction, collapses multi-category or probabilistic setups into binary splits, and ignores narrative timing, implicit comparisons, and the requirement that minority categories remain small-but-nonzero. Humans, by contrast, integrate all constraints—totals, verbal hedges, expectations, and sampling uncertainty—yielding arithmetically consistent yet pragmatically moderate distributions where majority terms are strong but not maximized and “almost none” still leaves a remainder."
