"cluster_id","question_index","story","question","option_a","option_b","option_c","option_d","correct_answer","cluster_summary"
"3","0","Maya finds a tin in the pantry, the label on the tin is tea, Maya cannot see what is inside the tin, Maya opens the tin and finds cookies, there is no tea in the tin, Maya closes the tin and puts it back in its place, Leo enters the pantry and sees the tin.","What should be inside the tin?","Tea","Cookies","Rice","Spices","A","Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
"3","1","Jonah finds a toolbox in the garage, the label on the toolbox is screws, Jonah cannot see what is inside the toolbox, Jonah opens the toolbox and finds a paintbrush, there are no screws in the toolbox, Jonah closes the toolbox and puts it back in its place, Ava enters the garage and sees the toolbox.","What should be inside the toolbox?","Tape","Screws","Paintbrush","Sandpaper","B","Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
"3","2","Priya finds a cubby in the classroom, the label on the cubby is markers, Priya cannot see what is inside the cubby, Priya opens the cubby and finds scissors, there are no markers in the cubby, Priya closes the cubby and puts it back in its place, Mateo enters the classroom and sees the cubby.","What should be inside the cubby?","Markers","Scissors","Notebooks","Glue sticks","A","Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
"3","3","Lena finds a small locker in the office mailroom, the label on the locker is invoices, Lena cannot see what is inside the locker, Lena opens the locker and finds an umbrella, there are no invoices in the locker, Lena closes the locker and puts it back in its place, Omar enters the mailroom and sees the locker.","What should be inside the locker?","Umbrella","Envelopes","Invoices","Stamps","C","Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
"3","4","Hana finds a bucket in the garden shed, the label on the bucket is soil, Hana cannot see what is inside the bucket, Hana opens the bucket and finds a coil of rope, there is no soil in the bucket, Hana closes the bucket and puts it back in its place, Tariq enters the shed and sees the bucket.","What should be inside the bucket?","Soil","Rope","Seeds","Shovel","A","Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
"3","5","Nina finds a glass jar in the science lab, the label on the jar is salt, Nina cannot see what is inside the jar, Nina opens the jar and finds sand, there is no salt in the jar, Nina closes the jar and puts it back in its place, Victor enters the lab and sees the jar.","What should be inside the jar?","Sugar","Salt","Sand","Baking soda","B","Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
"3","6","Elias finds a case in the music room, the label on the case is violin strings, Elias cannot see what is inside the case, Elias opens the case and finds a metronome, there are no violin strings in the case, Elias closes the case and puts it back in its place, Aiko enters the music room and sees the case.","What should be inside the case?","Violin strings","Metronome","Rosin","Sheet music","A","Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
"3","7","Marcus finds a locker by the marina, the label on the locker is life jackets, Marcus cannot see what is inside the locker, Marcus opens the locker and finds a fishing net, there are no life jackets in the locker, Marcus closes the locker and puts it back in its place, Sora walks onto the dock and sees the locker.","What should be inside the locker?","Fishing net","Anchor","Life jackets","Oars","C","Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
"3","8","Jamal finds a drawer in the art studio, the label on the drawer is charcoal, Jamal cannot see what is inside the drawer, Jamal opens the drawer and finds a stapler, there is no charcoal in the drawer, Jamal closes the drawer and puts it back in its place, Mei enters the studio and sees the drawer.","What should be inside the drawer?","Charcoal","Stapler","Canvas","Paint","A","Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
"3","9","Sofia finds a crate in the museum storage room, the label on the crate is posters, Sofia cannot see what is inside the crate, Sofia opens the crate and finds a tripod, there are no posters in the crate, Sofia closes the crate and puts it back in its place, Diego enters the storage room and sees the crate.","What should be inside the crate?","Tripod","Posters","Frames","Catalogs","B","Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
