cluster_id,question_index,story,question,option_a,option_b,option_c,option_d,correct_answer,cluster_summary
3,0,"Xiao Wang finds a canister in the kitchen, the label on the canister is tea, Xiao Wang cannot see what is inside the canister, Xiao Wang opens the canister and finds coffee, there is no tea inside the canister, Xiao Wang closes the canister and puts it back in its place, Xiao Zhang enters the kitchen and sees the canister.",What should be inside the canister?,Tea,Sugar,Rice,Coffee,A,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,1,"Lin finds a folder in the office, the label on the folder is math, Lin cannot see what is inside the folder at first, Lin opens the folder and finds art sketches, there are no math notes in the folder, Lin closes the folder and leaves it on the desk, Chen comes into the office and picks up the folder.","After Chen opens the folder, what does Lin expect to find inside the folder?",Algebra notes,Art sketches,Blank paper,Stamps,B,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,2,"Xiao Yu finds a box in the living room, the label on the box is candles, Xiao Yu cannot see what is inside the box, Xiao Yu opens the box and finds batteries, there are no candles in the box, Xiao Yu closes the box and puts it under the table, Qiang enters the living room and sees the box but does not open it yet.","Before Qiang opens the box, what does Qiang think is inside the box?",Candles,Batteries,Marbles,Chalk,A,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,3,"Xiao Mei sees a refrigerator in the break room, there is a sign on the refrigerator that says milk, Xiao Mei cannot see inside the refrigerator, Xiao Mei opens it and finds juice, there is no milk inside, Xiao Mei closes the refrigerator and sits down, Xiao He enters the break room and sees the refrigerator with the sign.","According to the sign, what should be in the refrigerator?",Milk,Juice,Eggs,Yogurt,A,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,4,"Xiao Lin finds a drawer in the hallway, the label on the drawer is socks, Xiao Lin cannot see what is inside the drawer, Xiao Lin opens the drawer and finds gloves, there are no socks in the drawer, Xiao Lin closes the drawer and leaves, Wang Fang comes to the hallway and opens the drawer.","After Wang Fang opens the drawer, what does Xiao Lin expect to find inside the drawer?",Socks,Gloves,Belt,Notebook,B,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,5,"Chen receives an envelope on his desk, the label on the envelope is invoice, Chen does not open the envelope and leaves it on the table, later Li Wei comes by and opens the envelope and finds a postcard inside, there is no invoice in the envelope.","Before Li Wei opened the envelope, what did Chen think was inside the envelope?",Invoice,Postcard,Photograph,Coupon,A,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,6,"At the market, Xiao Tao sets out a produce bin, the label on the bin is apples, Xiao Tao fills the bin with pears because the apples are sold out, there are no apples in the bin, Liu walks into the market and sees the labeled bin.",What should be in the bin according to the label?,Apples,Pears,Oranges,Grapes,A,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,7,"Zhao finds a USB drive case on the table, the label on the case is music, Zhao plugs in the drive and sees that it only contains photos, there are no songs on the drive, Zhao ejects the drive and leaves it, Sun comes over and is about to open the drive.","When Sun opens the drive now, what does Zhao expect Sun to find on the drive?",Songs,Videos,Photos,Empty folders,C,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,8,"In the clinic, a medicine bottle is on the shelf, the label on the bottle is vitamin C, Nurse Hua cannot see the pills through the opaque bottle, Nurse Hua opens the bottle and finds painkillers, there is no vitamin C inside, Nurse Hua closes the bottle and returns it to the shelf, Patient Guo sees the labeled bottle.",What should be in the bottle?,Vitamin C,Painkillers,Antibiotics,Bandages,A,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
3,9,"Lili finds a small locker near the entrance, the label on the locker is umbrella, Lili cannot see what is inside the locker, Lili opens the locker and finds a scarf, there is no umbrella in the locker, Lili closes the locker and goes to answer a call, Ming comes to the entrance and opens the locker.","After Ming opens the locker, what does Lili expect to find inside the locker?",Umbrella,Scarf,Hat,Gloves,B,"Taken together, these reasons portray a model that defaults to salience- and template-based heuristics—classic false-belief scripts, label‑equals‑contents, last‑mentioned item, or literal similes—instead of flexibly tracking the narrative. It repeatedly misidentifies whose perspective is relevant, collapses distinctions between reality and multiple nested belief states, and neglects how agents’ knowledge changes with perception or world constraints, so it often answers from an omniscient or naïve observer rather than the targeted character. Across many items, lingering linguistic and pragmatic ambiguities mean the model’s reality‑tracking, conservative, or literal interpretations are sometimes partially defensible against rubric expectations."
